id,yield
15289,4330.800725127753
15290,6108.310521200154
15291,7257.9752987130305
15292,5002.691489992734
15293,3699.6193457657673
15294,4963.582281253005
15295,7219.405022942381
15296,6461.631333712739
15297,8379.584292931955
15298,4247.635491517766
15299,5884.915813202101
15300,5930.056004871838
15301,5542.859000725929
15302,5667.754760706437
15303,5085.099125256922
15304,4888.423698843089
15305,4868.510688408126
15306,6336.676406560569
15307,5043.334358835586
15308,5845.043166693343
15309,6204.571226910585
15310,7577.181338181616
15311,4214.491457836325
15312,5187.815685822969
15313,6397.085215985382
15314,5124.065681933598
15315,4598.995816109524
15316,7967.171345112655
15317,5661.866932507792
15318,7849.005016734698
15319,8130.559158121041
15320,6990.242158025323
15321,6620.2499318001155
15322,2733.100611924704
15323,5916.6680475174735
15324,2645.851136355198
15325,7142.786705283434
15326,6202.283820726061
15327,4183.832739440657
15328,7817.052684501745
15329,7738.143657836889
15330,5168.879023630645
15331,5779.970151514029
15332,6891.128794826712
15333,6374.756235962417
15334,5615.030617287207
15335,8030.295918682635
15336,4186.287603411998
15337,7530.829737288023
15338,6180.713490705445
15339,5529.608634234433
15340,6715.354970970024
15341,5721.480945177958
15342,5377.453042172806
15343,6730.360806100381
15344,6070.852342835644
15345,4477.720199732624
15346,6112.723599030154
15347,6274.930479819147
15348,4762.868314059079
15349,6517.89828927025
15350,4661.124836388443
15351,6096.517902548261
15352,5860.684145216934
15353,6895.443494357676
15354,4345.800637918825
15355,4512.873140991014
15356,6076.978539149531
15357,6196.16266952259
15358,7000.641392462815
15359,5003.247632327972
15360,4482.667389632468
15361,5659.551489348902
15362,6001.448615807262
15363,6641.682704641499
15364,5123.543197126007
15365,4520.46236054908
15366,4771.385259894365
15367,7676.808179211596
15368,4946.565030806241
15369,5910.960766890032
15370,6434.121288878299
15371,3400.931392288994
15372,4872.214093555391
15373,6199.77149111427
15374,5697.922113805695
15375,5494.073209835891
15376,5918.252778499777
15377,5685.427398600246
15378,4775.245006692352
15379,6044.8961266696515
15380,7368.667861232394
15381,6122.512064091694
15382,5919.7019001577155
15383,7336.646690909838
15384,5219.9948628687725
15385,4318.030776352718
15386,4377.292308953328
15387,4394.644448170376
15388,6792.571994316747
15389,6120.717965575183
15390,8328.497113752637
15391,6383.512207550543
15392,7257.964037671722
15393,5853.395553516083
15394,6065.363337057576
15395,5562.108555865327
15396,6910.601393436422
15397,6886.701241158778
15398,5635.9688234481455
15399,5602.433996069163
15400,4863.158500791018
15401,6160.393081148124
15402,6182.783557770619
15403,6116.000738458521
15404,7211.786572684212
15405,7546.285054572927
15406,8212.340335939374
15407,5729.417442690423
15408,7612.560220898567
15409,5879.649150586472
15410,5891.139750494591
15411,8257.686731123606
15412,6677.518062847591
15413,6748.96246229445
15414,5693.182332153443
15415,5957.2868816951695
15416,6935.502077174753
15417,5773.60332335842
15418,7581.484531862738
15419,4402.694150193016
15420,4186.524158140053
15421,6326.335330662764
15422,3723.5754964245943
15423,6666.750127298908
15424,6439.177054143283
15425,6974.826290304951
15426,3856.1271951872586
15427,7601.31319913721
15428,6394.699775796142
15429,7384.406942237907
15430,6508.679632094493
15431,5310.197747773509
15432,5216.1613945494755
15433,4743.266449785521
15434,8355.705602604761
15435,4032.806448497132
15436,4717.002772535247
15437,5033.36711508378
15438,5516.274162015282
15439,7408.94787482142
15440,5470.429220853965
15441,6525.049720941397
15442,5421.884249293686
15443,4720.864847113724
15444,5772.40432180641
15445,3616.1944220638425
15446,6615.58663143171
15447,6598.0189430722
15448,7975.591121966509
15449,8157.241121553286
15450,7083.304498829082
15451,5312.808019436428
15452,4567.063140222802
15453,7477.746651020347
15454,6553.2208902122475
15455,8279.34291403724
15456,6436.558339499898
15457,6361.9352219947905
15458,5663.525344400744
15459,6198.94271953032
15460,5739.959482641065
15461,5120.5010214558315
15462,5212.25900833418
15463,6737.562345409722
15464,6298.315894308176
15465,6703.173289199564
15466,7304.598951219483
15467,7342.064159122355
15468,3517.069784928693
15469,2534.1352329067877
15470,7441.8614202730005
15471,7359.103749789952
15472,6613.745098674748
15473,5266.596597839762
15474,6843.693048526537
15475,5183.299231121985
15476,5278.0231310602685
15477,5683.204263987235
15478,4482.841676801254
15479,7370.324259847808
15480,6819.240514693496
15481,6493.499948407716
15482,6356.894878776278
15483,6756.185809482402
15484,6328.099272349892
15485,7493.283009147682
15486,6183.643837219615
15487,7863.559748680384
15488,7137.9455551187075
15489,5510.1580276853
15490,6208.7385816526885
15491,6561.703905110418
15492,5253.118086519491
15493,7332.904104845426
15494,6388.928566305925
15495,6882.053758741393
15496,6943.903634454464
15497,4789.409576907066
15498,6700.866558591916
15499,6494.041976343986
15500,7473.459662181822
15501,5529.23438700887
15502,7655.697496589059
15503,7459.2216050271645
15504,6796.15979449047
15505,6201.4144104867555
15506,4545.041801572074
15507,4706.772189305472
15508,6057.1930188379465
15509,4039.118879723038
15510,5033.309693532527
15511,6166.192125339709
15512,5343.666328859712
15513,6735.175026535237
15514,7867.032588116732
15515,6696.457808523718
15516,5162.827711992025
15517,7720.019618009692
15518,7108.588589309991
15519,7101.0416687612515
15520,5675.26984266092
15521,6510.790276267626
15522,6379.140491322607
15523,6593.413873839686
15524,7205.053611078851
15525,5247.041663603681
15526,5524.1532434030705
15527,4513.435235706872
15528,4324.087905045417
15529,7463.9173889885915
15530,6583.941746785262
15531,6662.7503520826385
15532,7189.144938863061
15533,4811.706587277865
15534,7940.774601758721
15535,4089.591852450051
15536,6560.598011596585
15537,5511.481377130694
15538,6680.117565812196
15539,7432.890389321521
15540,6155.6334586125795
15541,6357.480744359957
15542,7168.56815324646
15543,7128.458944317543
15544,4673.585520485375
15545,4944.6023278592675
15546,7558.877834975829
15547,5503.182398532874
15548,5962.714626629119
15549,7082.475695114638
15550,6659.162280739707
15551,7105.582786515014
15552,6410.509610529272
15553,4315.560951855319
15554,5566.378942219057
15555,6004.337103639604
15556,6776.299005516346
15557,7096.818778083561
15558,4133.05829439919
15559,5567.724753467831
15560,7779.034359011922
15561,5523.627515191141
15562,7547.959103153152
15563,6712.191329008228
15564,4442.910822727548
15565,6398.5429639066015
15566,6694.795483946951
15567,6570.602415552676
15568,3251.559349715227
15569,4276.052707336438
15570,5295.717692167259
15571,5189.6091466976495
15572,4150.378138922446
15573,5866.826158394963
15574,6202.9475281509285
15575,6481.4623397383
15576,4399.33668441346
15577,5919.942695036108
15578,6577.333480445432
15579,3230.9870981353465
15580,7686.897395248638
15581,7359.1027536575075
15582,6660.914464811739
15583,3071.754015862469
15584,5407.72808873405
15585,4147.684965736672
15586,6292.634947213142
15587,7959.259966389054
15588,6429.815750221917
15589,5741.538231204805
15590,5112.760647590525
15591,5961.069873162999
15592,7868.864635966884
15593,7249.444598248337
15594,6847.096761076407
15595,4430.096219217584
15596,4758.306434094053
15597,5080.39998871195
15598,5298.807816200258
15599,5598.75912658316
15600,5568.17726352189
15601,6162.034963626036
15602,7682.219111207124
15603,5051.724604874266
15604,7351.609587025268
15605,6419.553738594951
15606,7577.267735177778
15607,5808.930543636766
15608,6819.53701770192
15609,7334.911814488857
15610,6529.72752019229
15611,4702.476624982868
15612,5147.001923391099
15613,6471.409388947477
15614,4592.426419634825
15615,6277.967049659796
15616,6112.591612435057
15617,5407.339886876613
15618,6548.938845560966
15619,6832.987221438312
15620,5014.263522731481
15621,4336.015437193
15622,4239.766568860896
15623,5466.659774287449
15624,5263.591103199938
15625,4194.169353800794
15626,7453.64049222639
15627,5522.620159325349
15628,5784.387952228184
15629,5913.157508417897
15630,5241.506880300285
15631,5765.1984079963495
15632,5975.856086425113
15633,4993.338258011832
15634,7069.39252785958
15635,5303.824655332692
15636,7514.500146263752
15637,5746.9284482987
15638,5688.121830504894
15639,4222.1790688107685
15640,5584.323822265511
15641,7102.401061716203
15642,6637.740123126983
15643,4579.313506065755
15644,6170.080151528815
15645,5507.4374308696115
15646,5633.620039960917
15647,7965.076964726617
15648,5749.099711508204
15649,6792.4889604349355
15650,7994.936343510932
15651,5557.635218573221
15652,8059.286287732242
15653,4975.629511647949
15654,6832.717717803838
15655,4939.128641080718
15656,7185.06537860053
15657,5356.071306627512
15658,6744.046462599671
15659,7203.981037659953
15660,7726.109323244483
15661,7439.471556996077
15662,6832.898360933085
15663,7350.769536688035
15664,4366.861729679775
15665,4396.789883121922
15666,4749.828486942501
15667,6670.088410171686
15668,7393.680382202964
15669,5115.639795642523
15670,6583.842260466819
15671,5795.081351148461
15672,5394.447712651557
15673,6948.52233206237
15674,6255.322274033494
15675,4707.85282207736
15676,5547.1840117402635
15677,5308.616039707025
15678,7493.068023559758
15679,6385.612229358262
15680,4837.127146084624
15681,7336.254410436618
15682,6218.079200099001
15683,5664.173231752995
15684,6624.1006573064515
15685,6825.625864037278
15686,7822.226840592835
15687,5634.502170317421
15688,7344.290706773106
15689,7325.238997950175
15690,6780.774453167303
15691,6236.726594148745
15692,5143.957714374128
15693,6704.0492433437375
15694,6679.8777229951875
15695,6230.397003618964
15696,7240.025761050923
15697,5355.569732432894
15698,7267.080716522631
15699,5543.933671622617
15700,7348.777056251094
15701,4136.989085280316
15702,4730.327976299992
15703,3169.9435863380363
15704,4490.676695623797
15705,6060.372805446368
15706,6587.934301067742
15707,6059.268703971655
15708,6286.376670357791
15709,7059.424790917517
15710,6711.070990132608
15711,6383.184419818211
15712,7120.311460980893
15713,5588.568378616678
15714,4616.894548240132
15715,5548.730676713374
15716,6456.797601445782
15717,5070.220093595508
15718,5462.073293913812
15719,6160.082883317226
15720,5743.718998669986
15721,5462.889093778336
15722,6838.967035512852
15723,6349.3296151156255
15724,5122.2516611700285
15725,5495.898558596677
15726,6887.321824506411
15727,6982.458405803029
15728,5075.470797420574
15729,5570.746775594709
15730,4847.003519751413
15731,5195.618753563065
15732,7518.097264139718
15733,6550.984141475819
15734,7363.943452639017
15735,5277.043522017842
15736,6660.860898380994
15737,6776.60627117709
15738,3416.9472717731255
15739,3932.274443409574
15740,7269.854587143171
15741,5591.144001132439
15742,6076.558455414304
15743,4587.063475209092
15744,6918.361729248694
15745,7756.438469326323
15746,6379.879146384285
15747,5404.678637715123
15748,7230.473065406198
15749,5618.74432280766
15750,6101.158889113856
15751,5441.566387350284
15752,5878.460199345574
15753,6525.623024978806
15754,6164.032610576566
15755,5829.010606791258
15756,6786.005015118442
15757,5507.153091703683
15758,5553.786904482004
15759,5615.7554966929865
15760,5726.561194229661
15761,5173.7327604556685
15762,3329.357638587288
15763,5788.876989463766
15764,7933.408545544792
15765,7239.140302159684
15766,8276.61782647703
15767,5949.521768407846
15768,5459.789465117583
15769,4570.657355631539
15770,4248.2457546293535
15771,5370.743346050636
15772,5767.149132036095
15773,6538.546358102198
15774,3746.082952814764
15775,6505.465465151609
15776,5843.317792412676
15777,7703.603343306636
15778,6042.039668982541
15779,7697.718145513362
15780,6190.742381202191
15781,6471.824057300544
15782,6838.691385042258
15783,7944.1185140490015
15784,7747.187046864732
15785,7848.921900581448
15786,6550.9306573024605
15787,6692.951972689262
15788,4522.128873300339
15789,4909.555151202807
15790,5514.3248308060765
15791,6735.57400622652
15792,6690.810348131516
15793,6337.849328402669
15794,6690.686449029099
15795,6034.699028875804
15796,7864.085785752263
15797,6495.286247839374
15798,4709.228381956025
15799,6488.627758632854
15800,6651.2978546746635
15801,5506.405651938707
15802,4911.841255255961
15803,5876.258793139323
15804,7234.532566863436
15805,6332.108822454495
15806,7526.27563676362
15807,5145.16817302462
15808,4720.193456615583
15809,7699.256873422612
15810,5956.452972274147
15811,7815.625098074578
15812,5820.309030330652
15813,5149.917374288848
15814,6161.111133986312
15815,7413.135944218435
15816,6733.045790097923
15817,3968.189996228869
15818,7176.013953564302
15819,7199.1784662266045
15820,5009.147720741155
15821,7238.346601856114
15822,6018.901928671835
15823,6129.813877446674
15824,5697.581808013928
15825,7182.4234595818225
15826,6132.10275693347
15827,5980.83356233517
15828,4741.908768744863
